ID;Label
D2-126;Meta
D2-127;Human
D2-128;OpenAI
D2-129;OpenAI
D2-130;OpenAI
D2-131;Meta
D2-132;Human
D2-133;OpenAI
D2-134;OpenAI
D2-135;Google
D2-136;Human
D2-137;Meta
D2-138;Human
D2-139;Human
D2-140;Human
D2-141;Human
D2-142;Human
D2-143;OpenAI
D2-144;OpenAI
D2-145;OpenAI
D2-146;OpenAI
D2-147;Human
D2-148;OpenAI
D2-149;Human
D2-150;OpenAI
D3-76;Human
D3-77;Human
D3-78;OpenAI
D3-79;Human
D3-80;Meta
D3-81;OpenAI
D3-82;Google
D3-83;OpenAI
D3-84;Human
D3-85;Human
D3-86;Human
D3-87;Human
D3-88;OpenAI
D3-89;Human
D3-90;Human
D3-91;Google
D3-92;Human
D3-93;Human
D3-94;Meta
D3-95;Human
D3-96;OpenAI
D3-97;OpenAI
D3-98;OpenAI
D3-99;OpenAI
D3-100;Human
D4-1;Human
D4-2;OpenAI
D4-3;Google
D4-4;Human
D4-5;OpenAI
D4-6;OpenAI
D4-7;OpenAI
D4-8;Meta
D4-9;Human
D4-10;Human
D4-11;Meta
D4-12;OpenAI
D4-13;OpenAI
D4-14;Human
D4-15;Meta
D4-16;Human
D4-17;Meta
D4-18;Human
D4-19;Meta
D4-20;OpenAI
D4-21;Meta
D4-22;OpenAI
D4-23;OpenAI
D4-24;Google
D4-25;Human
D4-26;OpenAI
D4-27;OpenAI
D4-28;OpenAI
D4-29;OpenAI
D4-30;Meta
D4-31;OpenAI
D4-32;Human
D4-33;OpenAI
D4-34;Human
D4-35;OpenAI
D4-36;Human
D4-37;OpenAI
D4-38;Human
D4-39;OpenAI
D4-40;Meta
D4-41;OpenAI
D4-42;OpenAI
D4-43;OpenAI
D4-44;Google
D4-45;Human
D4-46;Meta
D4-47;OpenAI
D4-48;OpenAI
D4-49;OpenAI
D4-50;Meta
D4-51;OpenAI
D4-52;Google
D4-53;Human
D4-54;OpenAI
D4-55;Human
D4-56;Human
D4-57;Google
D4-58;OpenAI
D4-59;OpenAI
D4-60;Meta
D4-61;Human
D4-62;OpenAI
D4-63;Human
D4-64;Human
D4-65;Meta
D4-66;Meta
D4-67;OpenAI
D4-68;Human
D4-69;Meta
D4-70;Google
D4-71;Human
D4-72;OpenAI
D4-73;OpenAI
D4-74;Human
D4-75;OpenAI
D4-76;OpenAI
D4-77;Human
D4-78;OpenAI
D4-79;OpenAI
D4-80;OpenAI
D4-81;OpenAI
D4-82;Google
D4-83;Human
D4-84;Human
D4-85;Google
D4-86;OpenAI
D4-87;OpenAI
D4-88;Human
D4-89;Human
D4-90;OpenAI
D4-91;OpenAI
D4-92;Human
D4-93;Human
D4-94;OpenAI
D4-95;Meta
D4-96;Meta
D4-97;Meta
D4-98;Google
D4-99;Human
D4-100;Google
